TranscriptCluster	Duke	UW
3770944	11.46217888	12.090494
3377737	8.634549708	7.51883934
3770979	7.569124584	9.564069444
2984500	6.580410085	7.049256832
3377752	6.639253149	7.86579306
2591292	4.773147121	3.810479779
2984543	4.589830887	9.097839009
3377789	8.902429384	9.515015118
3771037	9.102066903	9.742835998
2984573	10.58042818	10.80223092
3377826	10.64847443	9.661738913
3771068	6.811227607	6.624597601
2591367	4.340149197	3.67535415
3771091	6.972759274	8.125410026
2984616	9.676714337	10.94475598
3377861	7.639440201	8.391382517
3771120	8.591601819	9.557293925
3377886	10.72858806	12.16975697
2984655	5.807873941	6.584874834
2591421	9.949911315	11.44600976
3771160	6.816758404	7.633605579
3377933	7.046166343	8.018775102
3377964	9.242380998	10.25302803
3771215	7.80630311	9.62885499
3377988	8.703785939	7.970836403
3378007	6.973255379	9.149821623
3771259	3.049871632	4.825750017
3378024	8.62945225	9.620119609
3378043	5.992317518	5.791329619
3771297	9.710743164	11.16675519
3378072	6.155111174	6.038788062
2984835	11.78180639	8.901125343
3771336	7.857526972	8.426249377
2591614	4.1839926	6.160574689
2984884	7.845210894	12.26379441
2591643	5.927342422	5.208225903
3771389	5.894175075	6.849194481
3378159	7.911744304	10.86903084
3378183	4.881950879	4.54934881
3378191	6.060154955	6.961345504
3378210	6.477321547	8.75003251
3771464	3.977091445	6.471945034
3378228	8.140967772	8.883805092
3378244	7.814974928	9.549030561
3771513	8.995963548	10.02083645
3378281	10.3988022	10.78471663
3771543	6.776467249	8.527158979
2591837	8.410010313	9.600598703
3378320	7.324808354	8.515122908
3378344	6.744585296	7.861514997
3771602	5.237956574	6.230653273
3378368	6.732995656	6.20119406
2985129	5.464428125	5.861565863
2591906	6.100957155	7.959171226
3771642	5.529713209	4.827473549
3378411	8.224145213	10.59356853
2591942	8.171642189	9.273288974
3378433	6.393293488	7.535368702
3771675	5.59397966	5.567917552
2591988	4.16756868	4.256097327
3771712	7.838121361	8.729784999
2592005	9.094343629	9.7930955
2985252	5.255188178	3.045508207
3771744	8.101327034	8.123364431
2985281	5.520941557	6.663898666
3771773	8.853712674	9.699238128
3378541	6.296569368	8.275842044
3771800	11.16246057	12.13938294
2985332	7.336091432	4.933095753
2985342	6.724371282	6.528254575
2985368	6.832077953	5.663029553
3378671	5.171535112	3.962848821
3378732	8.18771332	8.634780805
2985497	5.144021889	6.673750504
2592268	8.681052132	9.568896024
3378758	6.742948696	7.493412501
3378790	9.838853309	12.04061165
3772056	4.907787192	5.639589126
3378818	7.678126498	6.956689784
3378830	6.280124428	9.465481378
2592356	4.349197175	4.137316344
3772090	6.019988179	9.421099843
3378851	7.0867705	6.610266476
3378867	6.95977566	8.358652666
3378895	6.378792072	7.889067869
3772158	8.216823446	10.35993254
3378934	7.976350746	8.71624444
3772187	11.56819247	7.472360501
3378957	7.176554658	6.949258662
3378983	6.255398759	5.347898292
2592532	7.622355705	9.266966086
2985781	5.721579096	5.49705238
3379031	6.786120285	6.983042994
3772279	7.069412172	7.931367886
3379045	5.760828374	6.129256911
3379063	4.073201558	6.385766937
2592598	5.897196248	4.581118212
3379091	4.431487575	6.062325383
3379121	8.021732332	8.3099674
3772437	4.595887019	4.706351885
2985964	6.521463426	8.998291424
3379269	5.035949359	6.908060307
3772525	7.038815583	9.249608097
2986084	8.699378982	9.227247702
3379326	7.626743925	8.849868982
3772581	7.233104337	8.679701765
2986127	4.896206446	4.819884435
2986146	5.237444215	5.156128257
3379390	9.939827478	9.204333936
3772661	7.004149945	5.380623255
3379452	8.782651822	9.458921257
3772719	5.801831205	6.400297688
2593013	4.322124649	4.928523507
3772775	7.73603656	8.990337538
2986350	4.937376174	5.592036377
3379597	5.881194737	7.804257964
2593159	7.574637044	9.307671383
3379644	7.434736634	8.206835294
3379708	11.86163169	11.07933144
2986493	11.36962461	11.98217006
3379744	5.916649805	6.463196835
3379777	5.459798803	5.444777482
2986546	10.17563406	11.16406259
2593352	9.313901102	10.61909199
2593407	4.837626672	6.451906186
3773149	8.206622469	8.681992657
3773174	6.233934064	7.793690004
2593464	5.798576131	5.742078991
2986727	8.297453964	10.23248089
3773241	5.256963458	6.421077395
